"WebID","Area","Data_label","2016","2016%","2011","2011%","2006","2006%","2001","2001%","Data Type",
"10","Australia","Denmark","8801","0.0376","9034","0.0420","8933","0.0451","9012","0.0481","UR",
"10","Australia","Eastern Europe, nfd","4416","0.0189","4766","0.0222","5620","0.0284","6857","0.0366","UR",
"10","Australia","Ecuador","2229","0.0095","1736","0.0081","1507","0.0076","1313","0.0070","UR",
"10","Australia","El Salvador","9566","0.0409","9651","0.0449","9391","0.0474","9684","0.0517","UR",
"10","Australia","Eritrea","4289","0.0183","2842","0.0132","2015","0.0102","1617","0.0086","UR",
"10","Australia","Estonia","2378","0.0102","1926","0.0090","1928","0.0097","2367","0.0126","UR",
"10","Australia","Ethiopia","11796","0.0504","8452","0.0393","5617","0.0283","3546","0.0189","UR",
"10","Australia","Finland","7706","0.0329","7939","0.0369","7923","0.0400","8244","0.0440","UR",
"10","Australia","Gaza Strip and West Bank","2931","0.0125","2689","0.0125","2629","0.0133","2691","0.0144","UR",
"10","Australia","Ghana","5281","0.0226","3865","0.0180","2763","0.0139","2038","0.0109","UR",
"10","Australia","Israel","9814","0.0419","9234","0.0429","7761","0.0392","6546","0.0350","UR",
"10","Australia","Jordan","5916","0.0253","4619","0.0215","3716","0.0188","3351","0.0179","UR",
"10","Australia","Kenya","17655","0.0754","13834","0.0643","9913","0.0500","6834","0.0365","UR",
"10","Australia","Kuwait","6017","0.0257","4057","0.0189","2869","0.0145","2417","0.0129","UR",
"10","Australia","Laos","10403","0.0445","9929","0.0462","9365","0.0473","9567","0.0511","UR",
"10","Australia","Latvia","3760","0.0161","4673","0.0217","5597","0.0282","6683","0.0357","UR",
"10","Australia","Liberia","3025","0.0129","2673","0.0124","1520","0.0077","123","0.0007","UR",
"10","Australia","Libya","2527","0.0108","2554","0.0119","1515","0.0076","1420","0.0076","UR",
"10","Australia","Lithuania","2606","0.0111","2638","0.0123","3066","0.0155","3635","0.0194","UR",
"10","Australia","Macau","2615","0.0112","2271","0.0106","2016","0.0102","1971","0.0105","UR",
"10","Australia","Mexico","4882","0.0209","3257","0.0151","1786","0.0090","1124","0.0060","UR",
"10","Australia","Morocco","1874","0.0080","1565","0.0073","1284","0.0065","1153","0.0062","UR",
"10","Australia","Mozambique","846","0.0036","753","0.0035","632","0.0032","540","0.0029","UR",
"10","Australia","Namibia","1264","0.0054","1021","0.0047","699","0.0035","432","0.0023","UR",
"10","Australia","Nepal","54757","0.2340","24635","0.1146","4560","0.0230","2622","0.0140","UR",
"10","Australia","New Caledonia","1298","0.0055","1217","0.0057","1102","0.0056","1032","0.0055","UR",
"10","Australia","Nigeria","8477","0.0362","4517","0.0210","2489","0.0126","1736","0.0093","UR",
"10","Australia","Norway","3792","0.0162","3708","0.0172","3618","0.0183","4305","0.0230","UR",
"10","Australia","Oman","1626","0.0069","1096","0.0051","827","0.0042","349","0.0019","UR",
"10","Australia","Pakistan","61911","0.2646","30194","0.1404","16969","0.0856","11913","0.0636","UR",
"10","Australia","Peru","9560","0.0409","8441","0.0393","6313","0.0319","5512","0.0294","UR",
"10","Australia","Samoa","24026","0.1027","19095","0.0888","15201","0.0767","13175","0.0704","UR",
"10","Australia","Saudi Arabia","12583","0.0538","10515","0.0489","3479","0.0176","1593","0.0085","UR",
"10","Australia","Seychelles","2516","0.0108","2593","0.0121","2504","0.0126","2440","0.0130","UR",
"10","Australia","Sierra Leone","3404","0.0145","3044","0.0142","1803","0.0091","376","0.0020","UR",
"10","Australia","Slovakia","4431","0.0189","3940","0.0183","3318","0.0167","3027","0.0162","UR",
"10","Australia","Slovenia","5555","0.0237","6099","0.0284","6214","0.0314","6710","0.0358","UR",
"10","Australia","Somalia","7669","0.0328","5688","0.0265","4298","0.0217","3719","0.0199","UR",
"10","Australia","Sudan/South Sudan","24724","0.1057","22856","0.1063","19007","0.0959","4910","0.0262","UR",
"10","Australia","Sweden","9555","0.0408","8353","0.0388","7475","0.0377","6746","0.0360","UR",
"10","Australia","Switzerland","12123","0.0518","11944","0.0555","11202","0.0565","10713","0.0572","UR",
"10","Australia","Syria","15315","0.0654","8373","0.0389","6956","0.0351","6704","0.0358","UR",
"10","Australia","Tanzania","3830","0.0164","3435","0.0160","2297","0.0116","1728","0.0092","UR",
"10","Australia","Tonga","9964","0.0426","9209","0.0428","7563","0.0382","7664","0.0409","UR",
"10","Australia","Trinidad and Tobago","1509","0.0064","1406","0.0065","1259","0.0064","1157","0.0062","UR",
"10","Australia","Uganda","3369","0.0144","2673","0.0124","1709","0.0086","1258","0.0067","UR",
"10","Australia","United Arab Emirates","8211","0.0351","4897","0.0228","2962","0.0149","1452","0.0078","UR",
"10","Australia","Uruguay","9001","0.0385","9236","0.0429","9367","0.0473","9447","0.0505","UR",
"10","Australia","Vanuatu","1151","0.0049","1105","0.0051","987","0.0050","881","0.0047","UR",
"10","Australia","Zambia","6237","0.0267","5537","0.0257","4056","0.0205","3094","0.0165","UR",
"10","Australia","Zimbabwe","34795","0.1487","30251","0.1407","20102","0.1015","11701","0.0625","UR",
"10","Australia","Bhutan","5946","0.0254","2455","0.0114","","","","","UR",
"20","Greater Capital Cities","Bosnia and Herzegovina","21069","0.1388","22718","0.1653","21847","0.1735","21054","0.1783","UR",
"20","Greater Capital Cities","Canada","29517","0.1945","26916","0.1958","21999","0.1747","18992","0.1608","UR",
"20","Greater Capital Cities","China","470121","3.0973","293722","2.1371","191759","1.5225","133399","1.1294","UR",
"20","Greater Capital Cities","Croatia","35290","0.2325","39457","0.2871","41268","0.3277","42127","0.3567","UR",
"20","Greater Capital Cities","Egypt","36001","0.2372","33341","0.2426","30751","0.2442","30824","0.2610","UR",
"20","Greater Capital Cities","Fiji","53480","0.3523","49943","0.3634","42798","0.3398","39285","0.3326","UR",
